high,low,volume,close,open,time
216.21,212.88,28799429.0,214.2,213.1,1607922000
215.42,212.24,27018106.0,214.13,215.165,1608008400
220.11,214.72,35023253.0,219.28,214.75,1608094800
220.89,217.92,32515840.0,219.42,219.87,1608181200
219.69,216.02,63354923.0,218.59,218.59,1608267600
224.0,217.2801,37181886.0,222.59,217.55,1608526800
225.63,221.85,22643452.0,223.94,222.69,1608613200
223.5589,220.8,18699638.0,221.02,223.11,1608699600
223.61,221.2,10550572.0,222.75,221.42,1608786000
226.03,223.02,17933496.0,224.96,224.45,1609131600
227.18,223.58,17403213.0,224.15,226.31,1609218000
225.63,221.47,20272337.0,221.68,225.23,1609304400
223.0,219.68,20942132.0,222.42,221.7,1609390800
223.0,214.81,37130140.0,217.69,222.53,1609736400
218.52,215.7,23840953.0,217.9,217.26,1609822800
216.4899,211.94,35930653.0,212.25,212.17,1609909200
219.34,213.71,27694500.0,218.29,214.04,1609995600
220.58,217.0261,22956630.0,219.62,218.68,1610082000
218.91,216.73,23047029.0,217.49,218.47,1610341200
217.1,213.3202,23249336.0,214.93,216.5,1610427600
216.76,213.9266,20087085.0,216.34,214.02,1610514000
217.46,212.74,29846767.0,213.02,215.91,1610600400
214.51,212.03,31730798.0,212.65,213.52,1610686800
216.98,212.63,30480860.0,216.44,213.75,1611032400
225.79,217.2908,37777261.0,224.34,217.7,1611118800
226.3,222.42,30772353.0,224.97,224.7,1611205200
230.07,225.8,30172663.0,225.95,227.08,1611291600
229.78,224.22,33152075.0,229.53,229.12,1611550800
234.18,230.08,49169601.0,232.33,231.86,1611637200
240.44,230.14,69870659.0,232.9,238.0,1611723600
242.64,235.09,49111390.0,238.93,235.61,1611810000
238.02,231.35,42504614.0,231.96,235.99,1611896400
242.5,232.43,33315077.0,239.65,235.06,1612155600
242.31,238.69,25916337.0,239.51,241.3,1612242000
245.09,239.26,27158104.0,243.0,239.57,1612328400
243.2399,240.37,25296101.0,242.01,242.66,1612414800
243.28,240.42,18054752.0,242.2,242.23,1612501200
243.68,240.81,22211931.0,242.47,243.15,1612760400
244.76,241.38,23564954.0,243.77,241.87,1612846800
245.92,240.89,22186706.0,242.82,245.0,1612933200
245.15,242.15,15751060.0,244.49,244.78,1613019600
245.3,242.73,16561079.0,244.99,243.9332,1613106000
246.13,242.92,26728487.0,243.7,245.03,1613451600
244.31,240.94,21673109.0,244.2,241.32,1613538000
243.93,240.86,16925584.0,243.79,241.8,1613624400
243.86,240.18,25262600.0,240.97,243.75,1613710800
237.93,232.4,36446938.0,234.51,237.42,1613970000
234.83,228.73,30228724.0,233.27,230.325,1614056400
235.2,229.0,26339746.0,234.55,230.01,1614142800
234.5852,227.88,39542561.0,228.99,232.08,1614229200
235.37,229.54,37819289.0,232.38,231.525,1614315600
237.47,233.15,25332837.0,236.94,235.9,1614574800
237.3,233.45,22812459.0,233.87,237.01,1614661200
233.5799,227.26,34029548.0,227.56,232.155,1614747600
232.49,224.26,44727810.0,226.73,226.735,1614834000
233.27,226.46,41877924.0,231.6,229.5165,1614920400
233.365,227.13,35267440.0,227.39,231.37,1615179600
235.3839,231.67,33080581.0,233.78,232.88,1615266000
237.0,232.04,29746812.0,232.42,237.0,1615352400
239.17,234.31,29907588.0,237.13,234.96,1615438800
235.82,233.23,22653663.0,235.75,234.01,1615525200
235.185,231.81,26042669.0,234.81,234.96,1615780800
240.055,235.94,28092227.0,237.71,236.28,1615867200
238.55,233.23,29562101.0,237.04,236.15,1615953600
234.19,230.33,34852992.0,230.72,232.56,1616040000
232.474,229.3496,46430750.0,230.35,231.02,1616126400
236.9,230.14,30127005.0,235.99,230.27,1616385600
241.05,237.07,31763394.0,237.58,237.485,1616472000
238.0,235.32,25620127.0,235.46,237.845,1616558400
236.94,231.57,34061853.0,232.34,235.3,1616644800
236.71,231.55,25479853.0,236.48,231.55,1616731200
236.8,231.88,25227955.0,235.24,236.59,1616990400
233.85,231.1,24792012.0,231.85,233.525,1617076800
239.1,232.39,43623474.0,235.77,232.91,1617163200
242.84,238.0501,30286004.0,242.35,238.47,1617249600
249.96,242.7,36854590.0,249.07,242.76,1617595200
249.4,246.88,22902295.0,247.86,247.61,1617681600
250.93,247.19,22634697.0,249.9,247.81,1617768000
254.139,252.0,23542015.0,253.25,252.84,1617854400
255.99,252.44,23849791.0,255.85,252.87,1617940800
257.67,254.62,23306670.0,255.83,254.71,1618200000
259.19,256.83,20559456.0,258.49,257.2573,1618286400
258.83,255.16,20153279.0,255.81,257.475,1618372800
259.93,257.73,21502837.0,259.56,257.931,1618459200
